"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:4cluDES4hQEUhmXj6TXkSo","What Makes You Beautiful","spotify:artist:4AK6F7OLvEQ5QYCBNiQWHq","One Direction","spotify:album:6cunQQ7YZisYOoiFu2ywIq","Up All Night","spotify:artist:4AK6F7OLvEQ5QYCBNiQWHq","One Direction","2012-05-25","https://i.scdn.co/image/ab67616d0000b2734a5584795dc73860653a9a3e","1","1","199986","https://p.scdn.co/mp3-preview/3abcba42a4cb3566c4840c29fd6695459065b1ae?cid=9950ac751e34487dbbe027c4fd7f8e99","false","86","GBHMU1100018","spotify:user:31h3ms4r3dvhgn7iywqum7pgsdly","2023-04-29T22:05:55Z"
"spotify:track:2yPoXCs7BSIUrucMdK5PzV","Umbrella","spotify:artist:5pKCCKE2ajJHZ9KAiaK11H, spotify:artist:3nFkdlSjzX9mRTtwJOzDYB","Rihanna, JAY-Z","spotify:album:4OXnPSBtZo8PBFiTOfuumP","Good Girl Gone Bad","spotify:artist:5pKCCKE2ajJHZ9KAiaK11H","Rihanna","2007-01-01","https://i.scdn.co/image/ab67616d0000b273b9ff0a5f40d3406aed5e5e3b","1","1","275986","https://p.scdn.co/mp3-preview/e58475d2391025fe032cba6b5282c71a6141223e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","74","USUM70736771","spotify:user:31h3ms4r3dvhgn7iywqum7pgsdly","2023-04-29T22:06:02Z"
"spotify:track:5yDL13y5giogKs2fSNf7sj","Glad You Came","spotify:artist:2NhdGz9EDv2FeUw6udu2g1","The Wanted","spotify:album:2hnaJ8ktG2FSP1EthsCo6N","Battleground (Deluxe Edition)","spotify:artist:2NhdGz9EDv2FeUw6udu2g1","The Wanted","2011-01-01","https://i.scdn.co/image/ab67616d0000b27317a142a78128fb7c54ab9aa4","1","1","197935","https://p.scdn.co/mp3-preview/cf4bff1624c8c72cb9f5e18bb240f6ac2491b464?cid=9950ac751e34487dbbe027c4fd7f8e99","false","79","GBUM71104495","spotify:user:31h3ms4r3dvhgn7iywqum7pgsdly","2023-04-29T22:06:06Z"
"spotify:track:1rIKgCH4H52lrvDcz50hS8","Lush Life","spotify:artist:1Xylc3o4UrD53lo9CvFvVg","Zara Larsson","spotify:album:5YLRVHDVRw3QqWbeTGpC5B","So Good","spotify:artist:1Xylc3o4UrD53lo9CvFvVg","Zara Larsson","2017-03-17","https://i.scdn.co/image/ab67616d0000b2739e1683774b22648f4f178ed3","1","2","201122","https://p.scdn.co/mp3-preview/2f14e67d9660815897317b300241b228e40bcd97?cid=9950ac751e34487dbbe027c4fd7f8e99","false","80","SEWEE1500509","spotify:user:31h3ms4r3dvhgn7iywqum7pgsdly","2023-04-29T22:06:10Z"
"spotify:track:0qOnSQQF0yzuPWsXrQ9paz","Stereo Hearts (feat. Adam Levine)","spotify:artist:4IJczjB0fJ04gs4uvP0Fli, spotify:artist:4bYPcJP5jwMhSivRcqie2n","Gym Class Heroes, Adam Levine","spotify:album:2mumCpGmuE9iDeOvMx6XrB","The Papercut Chronicles II","spotify:artist:4IJczjB0fJ04gs4uvP0Fli","Gym Class Heroes","2011-11-11","https://i.scdn.co/image/ab67616d0000b27318b8088fe0c3dbf78398b55a","1","4","210960","https://p.scdn.co/mp3-preview/a62b535109dff39bdcc859c6fd2160e927d4b1c9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","83","USAT21101071","spotify:user:31h3ms4r3dvhgn7iywqum7pgsdly","2023-04-29T22:06:13Z"
"spotify:track:4kbj5MwxO1bq9wjT5g9HaA","Shut Up and Dance","spotify:artist:6DIS6PRrLS3wbnZsf7vYic","WALK THE MOON","spotify:album:3mNoFlD1wsoXfkljfFzExT","TALKING IS HARD","spotify:artist:6DIS6PRrLS3wbnZsf7vYic","WALK THE MOON","2014-12-02","https://i.scdn.co/image/ab67616d0000b27343294cfa2688055c9d821bf3","1","3","199080","https://p.scdn.co/mp3-preview/4309fadd9a0d573c1fafcca507e024b3bb51266b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","85","USRC11401949","spotify:user:31h3ms4r3dvhgn7iywqum7pgsdly","2023-04-29T22:06:18Z"
"spotify:track:0azC730Exh71aQlOt9Zj3y","This Is What You Came For","spotify:artist:7CajNmpbOovFoOoasH2HaY, spotify:artist:5pKCCKE2ajJHZ9KAiaK11H","Calvin Harris, Rihanna","spotify:album:3pEgGUv379EDinvg1TN7Kt","This Is What You Came For","spotify:artist:7CajNmpbOovFoOoasH2HaY, spotify:artist:5pKCCKE2ajJHZ9KAiaK11H","Calvin Harris, Rihanna","2016-04-29","https://i.scdn.co/image/ab67616d0000b273d9aa52355e062f5de060adbf","1","1","222160","https://p.scdn.co/mp3-preview/14138fec09bb5940b1ee11c3207663906970cf9b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","84","GBARL1600460","spotify:user:31h3ms4r3dvhgn7iywqum7pgsdly","2023-04-29T22:06:23Z"
"spotify:track:3NFvv5bC6HWtxUftIBm8Qd","Mama - Syn Cole Remix","spotify:artist:1HBjj22wzbscIZ9sEb5dyf, spotify:artist:5exS0bytCYdixgv02DaCm3, spotify:artist:6i1GVNJCyyssRwXmnaeEFH","Jonas Blue, William Singe, Syn Cole","spotify:album:1eDBHbgNyQxfiG3erm7mH1","Mama (Remixes)","spotify:artist:1HBjj22wzbscIZ9sEb5dyf","Jonas Blue","2017-07-21","https://i.scdn.co/image/ab67616d0000b273f5fc98b18651cc2261a49007","1","2","179887","https://p.scdn.co/mp3-preview/a71de536962d1130e6057c36b4f808c2bd284909?cid=9950ac751e34487dbbe027c4fd7f8e99","false","58","GBUM71703356","spotify:user:31h3ms4r3dvhgn7iywqum7pgsdly","2023-04-29T22:06:27Z"
"spotify:track:5MeTUONtAo08JqtGPljSxv","Black Magic - Cahill Remix","spotify:artist:3e7awlrlDSwF3iM0WBjGMp, spotify:artist:02nqwOvmlIhYQtZ5kVqJZm","Little Mix, Cahill","spotify:album:03byBYXGfV7seOUDb645TJ","Get Weird - Rarities & Remixes","spotify:artist:3e7awlrlDSwF3iM0WBjGMp","Little Mix","2015-11-06","https://i.scdn.co/image/ab67616d0000b273dd305eea864faeea63097fbd","1","3","198909","https://p.scdn.co/mp3-preview/f70039dfa513175bca9ac05c919935199b57a660?cid=9950ac751e34487dbbe027c4fd7f8e99","false","60","GBHMU1500064","spotify:user:31h3ms4r3dvhgn7iywqum7pgsdly","2023-04-29T22:06:32Z"
"spotify:track:6s8nHXTJVqFjXE4yVZPDHR","Troublemaker (feat. Flo Rida)","spotify:artist:3whuHq0yGx60atvA2RCVRW, spotify:artist:0jnsk9HBra6NMjO2oANoPY","Olly Murs, Flo Rida","spotify:album:5kU9rWhYr4MmPmaGYP5z4v","Right Place Right Time (Expanded Edition)","spotify:artist:3whuHq0yGx60atvA2RCVRW","Olly Murs","2012-11-26","https://i.scdn.co/image/ab67616d0000b273b95f5f8768a25c70d72f91d0","1","2","185586","https://p.scdn.co/mp3-preview/9569ed39233720069f71c9e0503af9b2862c33d6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","76","GBARL1201891","spotify:user:31h3ms4r3dvhgn7iywqum7pgsdly","2023-04-29T22:06:37Z"
"spotify:track:4tCtwWceOPWzenK2HAIJSb","Work from Home (feat. Ty Dolla $ign)","spotify:artist:1l8Fu6IkuTP0U5QetQJ5Xt, spotify:artist:7c0XG5cIJTrrAgEC3ULPiq","Fifth Harmony, Ty Dolla $ign","spotify:album:0pF0oyuPNdOObniB1Ng0kW","7/27 (Deluxe)","spotify:artist:1l8Fu6IkuTP0U5QetQJ5Xt","Fifth Harmony","2016-05-27","https://i.scdn.co/image/ab67616d0000b273d03fa6f4e758282b7920b5c8","1","2","214480","https://p.scdn.co/mp3-preview/58fd9aa04f6972b8302f497dc6bb6160941c1e58?cid=9950ac751e34487dbbe027c4fd7f8e99","false","78","USSM11600251","spotify:user:31h3ms4r3dvhgn7iywqum7pgsdly","2023-04-29T22:06:43Z"
"spotify:track:5T7ZFtCcOgkpjxcuaeZbw0","Best Song Ever","spotify:artist:4AK6F7OLvEQ5QYCBNiQWHq","One Direction","spotify:album:7p1fX8aUySrBdx4WSYspOu","Midnight Memories (Deluxe)","spotify:artist:4AK6F7OLvEQ5QYCBNiQWHq","One Direction","2013-11-25","https://i.scdn.co/image/ab67616d0000b2732f76b797c382bedcafdf45e1","1","1","200106","https://p.scdn.co/mp3-preview/cc52a4aa531cd779609c29f2759638a34160c361?cid=9950ac751e34487dbbe027c4fd7f8e99","false","79","GBHMU1300102","spotify:user:31h3ms4r3dvhgn7iywqum7pgsdly","2023-04-29T22:06:48Z"
"spotify:track:3mruwwpKfG5NYmnEr6O5Dw","Post Malone (feat. RANI) - VIZE Remix","spotify:artist:20gsENnposVs2I4rQ5kvrf, spotify:artist:3SYnDj7btg9gFY7ps8m5d5, spotify:artist:09agIJMxCD2k87ys9Al0f0","Sam Feldt, RANI, VIZE","spotify:album:2idnYaYkAG2xDus7xk1yNZ","Post Malone (feat. RANI) [VIZE Remix]","spotify:artist:20gsENnposVs2I4rQ5kvrf, spotify:artist:3SYnDj7btg9gFY7ps8m5d5, spotify:artist:09agIJMxCD2k87ys9Al0f0","Sam Feldt, RANI, VIZE","2019-09-12","https://i.scdn.co/image/ab67616d0000b2736944eb357ca4307cfe6b4a9a","1","1","154838","https://p.scdn.co/mp3-preview/cdf144f516ebcee64d9525559c8f315584cd7662?cid=9950ac751e34487dbbe027c4fd7f8e99","false","66","NLZ541901329","spotify:user:31h3ms4r3dvhgn7iywqum7pgsdly","2023-04-29T22:06:52Z"
"spotify:track:6FE2iI43OZnszFLuLtvvmg","Classic","spotify:artist:2l35CQqtYRh3d8ZIiBep4v","MKTO","spotify:album:5IenxFp0vpnXBUxPcwJtbE","MKTO","spotify:artist:2l35CQqtYRh3d8ZIiBep4v","MKTO","2012","https://i.scdn.co/image/ab67616d0000b2739474419f15773875a495eed3","1","2","175426","https://p.scdn.co/mp3-preview/b70bf7449452275b0ecf5714bf069e06f1565b45?cid=9950ac751e34487dbbe027c4fd7f8e99","false","82","USSM11301446","spotify:user:31h3ms4r3dvhgn7iywqum7pgsdly","2023-04-29T22:06:56Z"
"spotify:track:6hAYSTQ0EFhYaVS9v4sOX4","I Love It - Radio Edit","spotify:artist:6yn0fPrrlBftYt6jKCWKMo","Re-Mix Junkies","spotify:album:5hKTEy4YO4HvA9CnS9BJ5r","I Don't Care I Love It","spotify:artist:6yn0fPrrlBftYt6jKCWKMo","Re-Mix Junkies","2017-07-18","https://i.scdn.co/image/ab67616d0000b273910488d63fe76cd25bd68344","1","1","155886","https://p.scdn.co/mp3-preview/c729b5886e45a42dc112734ba53bd315fb057c81?cid=9950ac751e34487dbbe027c4fd7f8e99","false","56","GB-SMU-39-53113","spotify:user:31h3ms4r3dvhgn7iywqum7pgsdly","2023-04-29T22:07:00Z"
"spotify:track:7sQDftmdbHTcj7uRGQ2rRj","Feel This Moment (feat. Christina Aguilera) - Riddler & Reid Stefan Radio Mix","spotify:artist:0TnOYISbd1XYRBk9myaseg, spotify:artist:1l7ZsJRRS8wlW3WfJfPfNS, spotify:artist:4rHNRt0r4iKsOKUFBSWFmM, spotify:artist:6707QL4RZ9dwtd1PtELnbz","Pitbull, Christina Aguilera, Rich ""Riddler"" Pangilinan, Reid Stefan","spotify:album:5xsgmBYPLxbs16oVFlsUp5","Feel This Moment Remixes (feat. Christina Aguilera)","spotify:artist:0TnOYISbd1XYRBk9myaseg, spotify:artist:1l7ZsJRRS8wlW3WfJfPfNS","Pitbull, Christina Aguilera","2013-04-12","https://i.scdn.co/image/ab67616d0000b2731ece933798db9182881c7ddb","1","6","237106","https://p.scdn.co/mp3-preview/a2997fbeb7e9dd2d18ec6631af986dbb447be5f6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","51","USRC11300349","spotify:user:31h3ms4r3dvhgn7iywqum7pgsdly","2023-04-29T22:07:05Z"
"spotify:track:6yARPLK0PV4heEyh7pVMGz","Part Of Me","spotify:artist:6jJ0s89eD6GaHleKKya26X","Katy Perry","spotify:album:4zLOhyT4XIzyyl7KoSHWcE","Teenage Dream: The Complete Confection","spotify:artist:6jJ0s89eD6GaHleKKya26X","Katy Perry","2012-01-01","https://i.scdn.co/image/ab67616d0000b273a56dc57d708c7b62db950105","1","14","216160","https://p.scdn.co/mp3-preview/0fc1b5e3ad68d2c116daad18c258ae904afdc8a0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","71","USCA21102809","spotify:user:31h3ms4r3dvhgn7iywqum7pgsdly","2023-04-29T22:07:10Z"
